
=== Europeana (europeana) ===
europeana/art: 3921/160000 kept (40 pages, total 865996)
europeana/photography: 3953/80000 kept (40 pages, total 3920877)
europeana/archaeology: 3996/45000 kept (40 pages, total 896149)
europeana/photography: 7953/80000 kept (80 pages, total 3920877)
europeana/archaeology: 7994/45000 kept (80 pages, total 896149)
europeana/art: 7888/160000 kept (80 pages, total 865996)
europeana/photography: 11953/80000 kept (120 pages, total 3920877)
europeana/archaeology: 11994/45000 kept (120 pages, total 896149)
europeana/art: 11888/160000 kept (120 pages, total 865996)
europeana/photography: 15953/80000 kept (160 pages, total 3920877)
europeana/archaeology: 15994/45000 kept (160 pages, total 896149)
europeana/art: 15888/160000 kept (160 pages, total 865996)
europeana/photography: 19952/80000 kept (200 pages, total 3920877)
europeana/archaeology: 19994/45000 kept (200 pages, total 896149)
europeana/photography: 23948/80000 kept (240 pages, total 3920877)
europeana/art: 19888/160000 kept (200 pages, total 865996)
europeana/archaeology: 21391/45000 kept (240 pages, total 896149)
europeana/archaeology: 21754/45000 kept (280 pages, total 896149)
europeana/photography: 27948/80000 kept (280 pages, total 3920877)
europeana/art: 23888/160000 kept (240 pages, total 865996)
europeana/archaeology: 22104/45000 kept (320 pages, total 896149)
europeana/art: 27888/160000 kept (280 pages, total 865996)
europeana/photography: 31948/80000 kept (320 pages, total 3920877)
europeana/archaeology: 23215/45000 kept (360 pages, total 896149)
europeana/art: 31885/160000 kept (320 pages, total 865996)
europeana/photography: 35948/80000 kept (360 pages, total 3920877)
europeana/archaeology: 27215/45000 kept (400 pages, total 896149)
europeana/photography: 39948/80000 kept (400 pages, total 3920877)
europeana/art: 35884/160000 kept (360 pages, total 865996)
europeana/archaeology: 31215/45000 kept (440 pages, total 896149)
europeana/art: 39884/160000 kept (400 pages, total 865996)
europeana/archaeology: 35215/45000 kept (480 pages, total 896149)
europeana/photography: 43948/80000 kept (440 pages, total 3920877)
europeana/art: 43884/160000 kept (440 pages, total 865996)
europeana/archaeology: 39215/45000 kept (520 pages, total 896149)
europeana/photography: 47948/80000 kept (480 pages, total 3920877)
europeana/archaeology: 41388/45000 kept (560 pages, total 896149)
europeana/art: 47884/160000 kept (480 pages, total 865996)
europeana/photography: 51948/80000 kept (520 pages, total 3920877)
europeana/archaeology: 41388/45000 kept (600 pages, total 896149)
europeana/art: 51884/160000 kept (520 pages, total 865996)
europeana/photography: 55948/80000 kept (560 pages, total 3920877)
