
=== NIH 3D (nih3d) ===
nih3d: scanned 500/23000, kept 270
nih3d: scanned 1000/23000, kept 639
nih3d: scanned 1500/23000, kept 983
nih3d: scanned 2000/23000, kept 1310
nih3d: scanned 2500/23000, kept 1667
nih3d: scanned 3000/23000, kept 2029
nih3d: scanned 3500/23000, kept 2395
nih3d: scanned 4000/23000, kept 2800
nih3d: scanned 4500/23000, kept 3124
nih3d: scanned 5000/23000, kept 3430
nih3d: scanned 5500/23000, kept 3844
nih3d: scanned 6000/23000, kept 3846
nih3d: scanned 6500/23000, kept 3853
nih3d: scanned 7000/23000, kept 3855
nih3d: scanned 7500/23000, kept 4046
nih3d: scanned 8000/23000, kept 4371
nih3d: scanned 8500/23000, kept 4717
nih3d: scanned 9000/23000, kept 5096
nih3d: scanned 9500/23000, kept 5421
nih3d: scanned 10000/23000, kept 5807
nih3d: scanned 10500/23000, kept 6192
nih3d: scanned 11000/23000, kept 6565
nih3d: scanned 11500/23000, kept 6898
nih3d: scanned 12000/23000, kept 7229
nih3d: scanned 12500/23000, kept 7569
nih3d: scanned 13000/23000, kept 7969
nih3d: scanned 13500/23000, kept 8344
nih3d: scanned 14000/23000, kept 8644
nih3d: scanned 14500/23000, kept 8980
nih3d: scanned 15000/23000, kept 9330
nih3d: scanned 15500/23000, kept 9721
nih3d: scanned 16000/23000, kept 10094
nih3d: scanned 16500/23000, kept 10463
nih3d: scanned 17000/23000, kept 10867
nih3d: scanned 17500/23000, kept 11269
nih3d: scanned 18000/23000, kept 11606
nih3d: scanned 18500/23000, kept 11836
