
=== NYPL Digital Collections (nypl) ===
nypl: page 25, 12000 kept
nypl: page 50, 24500 kept
nypl: page 75, 37000 kept
nypl: page 100, 49500 kept
nypl: page 125, 62000 kept
nypl: page 150, 74500 kept
nypl: page 175, 87000 kept
nypl: page 200, 99500 kept
nypl: page 225, 112000 kept
nypl: page 250, 124497 kept
nypl: page 275, 136997 kept
nypl: page 300, 149496 kept
nypl: page 325, 161995 kept
nypl: page 350, 174495 kept
nypl: page 375, 186995 kept
nypl: page 400, 199495 kept
nypl: page 425, 211993 kept
nypl: page 450, 224493 kept
nypl: page 475, 236993 kept
nypl: page 500, 249493 kept
nypl: ingested 250000
--- nypl: 183891 records in staging (1050s)
