
=== Rijksmuseum (rijks) ===
rijks: 74 windows to harvest (cap 80000, have 0)
rijks 2026-06-08T00: done, 0 kept of 0
rijks 2026-06-08T04: done, 0 kept of 0
rijks 2026-06-08T03: done, 0 kept of 0
rijks 2026-06-08T01: done, 0 kept of 0
rijks 2026-06-08T02: done, 0 kept of 0
rijks 2026-06-08T06: done, 0 kept of 0
rijks 2026-06-08T09: done, 0 kept of 0
rijks 2026-06-08T10: done, 0 kept of 0
rijks 2026-06-08T11: done, 0 kept of 0
rijks 2026-06-08T12: done, 0 kept of 0
rijks 2026-06-08T13: done, 0 kept of 0
rijks 2026-06-08T08: done, 0 kept of 0
rijks 2026-06-08T05: done, 0 kept of 0
rijks 2026-06-08T07: done, 0 kept of 0
rijks 2026-06-08T14: done, 0 kept of 0
rijks 2026-06-08T15: done, 0 kept of 0
rijks 2026-06-08T16: done, 0 kept of 0
rijks 2026-06-08T17: done, 0 kept of 0
rijks 2026-06-08T18: done, 0 kept of 0
rijks 2026-06-08T19: done, 0 kept of 0
rijks 2026-06-08T20: done, 0 kept of 0
rijks 2026-06-08T22: done, 0 kept of 0
rijks 2026-06-08T21: done, 0 kept of 0
rijks 2026-06-08T23: done, 0 kept of 0
rijks 2026-06-09T00: done, 0 kept of 0
rijks 2026-06-09T01: done, 0 kept of 0
rijks 2026-06-09T02: done, 0 kept of 0
rijks 2026-06-09T03: done, 0 kept of 0
rijks 2026-06-09T05: done, 0 kept of 0
rijks 2026-06-09T04: done, 0 kept of 0
rijks 2026-06-09T09: done, 0 kept of 0
rijks 2026-06-09T10: done, 0 kept of 0
rijks 2026-06-09T07: done, 0 kept of 0
rijks 2026-06-09T06: done, 0 kept of 0
rijks 2026-06-09T08: done, 0 kept of 0
rijks 2026-06-09T12: done, 0 kept of 0
rijks 2026-06-09T11: done, 0 kept of 0
rijks 2026-06-09T14: done, 0 kept of 0
rijks 2026-06-09T15: done, 0 kept of 0
rijks 2026-06-09T13: done, 0 kept of 0
rijks 2026-06-09T16: done, 0 kept of 0
rijks 2026-06-09T20: 1000/24180 seen, 998 PD kept
rijks 2026-06-09T17: 1000/2385 seen, 927 PD kept
rijks 2026-06-09T18: 1000/2044 seen, 855 PD kept
rijks 2026-06-09T19: 1000/15574 seen, 908 PD kept
rijks 1900-01-01T00: 1000/841291 seen, 917 PD kept
rijks 2026-06-09T21: 1000/27455 seen, 998 PD kept
rijks 2026-06-09T19: 2000/15574 seen, 1902 PD kept
rijks 1900-01-01T00: 2000/841291 seen, 1620 PD kept
rijks 2026-06-09T21: 2000/27455 seen, 1995 PD kept
rijks 2026-06-09T17: 2000/2385 seen, 1881 PD kept
rijks 2026-06-09T20: 2000/24180 seen, 1996 PD kept
rijks 2026-06-09T18: 2000/2044 seen, 1730 PD kept
rijks 2026-06-09T18: done, 1768 kept of 2045
rijks 2026-06-09T17: done, 2252 kept of 2385
rijks 2026-06-09T19: 3000/15574 seen, 2900 PD kept
rijks 2026-06-09T21: 3000/27455 seen, 2995 PD kept
rijks 2026-06-09T20: 3000/24180 seen, 2996 PD kept
rijks 1900-01-01T00: 3000/841291 seen, 1688 PD kept
rijks 2026-06-09T22: 1000/40076 seen, 1000 PD kept
rijks 2026-06-09T23: 1000/82704 seen, 887 PD kept
rijks 2026-06-09T19: 4000/15574 seen, 3883 PD kept
rijks 2026-06-09T21: 4000/27455 seen, 3994 PD kept
rijks 2026-06-09T20: 4000/24180 seen, 3988 PD kept
rijks 1900-01-01T00: 4000/841291 seen, 1766 PD kept
rijks 2026-06-09T22: 2000/40076 seen, 2000 PD kept
rijks 2026-06-09T23: 2000/82704 seen, 1886 PD kept
rijks 2026-06-09T19: 5000/15574 seen, 4860 PD kept
rijks 2026-06-09T21: 5000/27455 seen, 4993 PD kept
rijks 2026-06-09T20: 5000/24180 seen, 4981 PD kept
rijks 1900-01-01T00: 5000/841291 seen, 2064 PD kept
rijks 2026-06-09T22: 3000/40076 seen, 2995 PD kept
rijks 2026-06-09T23: 3000/82704 seen, 2886 PD kept
rijks 2026-06-09T19: 6000/15574 seen, 5839 PD kept
rijks 2026-06-09T20: 6000/24180 seen, 5981 PD kept
rijks 2026-06-09T21: 6000/27455 seen, 5993 PD kept
rijks 2026-06-09T22: 4000/40076 seen, 3990 PD kept
rijks 1900-01-01T00: 6000/841291 seen, 2618 PD kept
rijks 2026-06-09T23: 4000/82704 seen, 3881 PD kept
rijks 2026-06-09T20: 7000/24180 seen, 6981 PD kept
rijks 2026-06-09T19: 7000/15574 seen, 6838 PD kept
rijks 2026-06-09T21: 7000/27455 seen, 6991 PD kept
