
=== Wellcome Collection (wellcome) ===
wellcome: 100000 scanned, 1138 kept
wellcome: 200000 scanned, 1337 kept
wellcome: 300000 scanned, 26240 kept
wellcome: 400000 scanned, 44943 kept
wellcome: 500000 scanned, 49099 kept
wellcome: 600000 scanned, 51199 kept
wellcome: 700000 scanned, 51756 kept
wellcome: 800000 scanned, 55130 kept
wellcome: 900000 scanned, 59891 kept
wellcome: 1000000 scanned, 64149 kept
wellcome: 1100000 scanned, 64971 kept
wellcome: ingested 75048 of 1176717
--- wellcome: 75048 records in staging (39s)
